	x	cos(x)*cos(x)	(cos(x)*cos(x))'
      1.00	      0.29	     -0.91	      0.83
      1.10	      0.21	     -0.81	      1.18
      1.20	      0.13	     -0.68	      1.47
      1.30	      0.07	     -0.52	      1.71
      1.40	      0.03	     -0.33	      1.88
      1.50	      0.01	     -0.14	      1.98
      1.60	      0.00	      0.06	      2.00
      1.70	      0.02	      0.26	      1.93
      1.80	      0.05	      0.44	      1.79
      1.90	      0.10	      0.61	      1.58
      2.00	      0.17	      0.76	      1.31
      2.10	      0.25	      0.87	      0.98
      2.20	      0.35	      0.95	      0.61
      2.30	      0.44	      0.99	      0.22
      2.40	      0.54	      1.00	     -0.17
      2.50	      0.64	      0.96	     -0.57
      2.60	      0.73	      0.88	     -0.94
      2.70	      0.82	      0.77	     -1.27
      2.80	      0.89	      0.63	     -1.55
      2.90	      0.94	      0.46	     -1.77
      3.00	      0.98	      0.28	     -1.92
      3.10	      1.00	      0.08	     -1.99
      3.20	      1.00	     -0.12	     -1.99
      3.30	      0.98	     -0.31	     -1.90
      3.40	      0.93	     -0.49	     -1.74
      3.50	      0.88	     -0.66	     -1.51
      3.60	      0.80	     -0.79	     -1.22
      3.70	      0.72	     -0.90	     -0.88
      3.80	      0.63	     -0.97	     -0.50
      3.90	      0.53	     -1.00	     -0.11
      4.00	      0.43	     -0.99	      0.29
      4.10	      0.33	     -0.94	      0.68
      4.20	      0.24	     -0.85	      1.04
      4.30	      0.16	     -0.73	      1.36
      4.40	      0.09	     -0.58	      1.62
      4.50	      0.04	     -0.41	      1.82
      4.60	      0.01	     -0.22	      1.95
      4.70	      0.00	     -0.02	      2.00
      4.80	      0.01	      0.17	      1.97
      4.90	      0.03	      0.37	      1.86
      5.00	      0.08	      0.54	      1.68
